,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,TotalSegments,TotalSections,AvgTatumDuration,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,Pitch6,Pitch7,Pitch8,Pitch9,Pitch10,Pitch11,Pitch12,Timbre1,Timbre2,Timbre3,Timbre4,Timbre5,Timbre6,Timbre7,Timbre8,Timbre9,Timbre10,Timbre11,Timbre12
3VvA1wSxukMLsvXoXtlwWx,0.725,0.756,4,-5.013,1,0.0572,0.362,0.000685,0.103,0.828,100.07,186133,4,750,6,0.3001,0.32945600000000047,0.47868533333333335,0.20625600000000002,0.27531066666666665,0.4679040000000002,0.269625333333333,0.49683600000000033,0.2304679999999998,0.3244493333333335,0.29861599999999994,0.21980266666666656,0.3068733333333333,50.09114533333332,1.6690853333333324,-7.14954933333333,11.384274666666672,18.573000000000004,-23.446204000000012,-11.689172000000003,-7.121142666666669,-4.005326666666673,10.676653333333332,-9.325562666666663,-1.674485333333334
1diS6nkxMQc3wwC4G1j0bh,0.722,0.588,6,-5.932,1,0.0544,0.0319,0.0,0.183,0.59,134.01,165507,4,479,8,0.224,0.409473903966597,0.5967620041753647,0.22427348643006279,0.21203131524008373,0.16430062630480183,0.2351294363256785,0.3095574112734865,0.21868475991649297,0.3387390396659706,0.2142713987473904,0.2568538622129437,0.4093194154488519,48.23334237995818,50.81137578288099,6.764045929018788,-4.77249269311065,24.10377453027142,-8.545962421711897,-0.9305553235908146,-0.18533611691023155,-19.622881002087677,-2.698461377870562,-12.100749478079326,-4.975407098121083
6ft4hAq6yde8jPZY2i5zLr,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,167903,4,420,6,0.2419,0.345161904761905,0.40323095238095236,0.23408809523809518,0.2972452380952384,0.3181904761904765,0.28848571428571407,0.47025476190476184,0.43674523809523835,0.5668523809523807,0.2680309523809522,0.29260476190476176,0.48188333333333366,47.642290476190496,10.07188571428571,-10.028185714285714,-16.508026190476183,17.41932142857142,-20.624695238095228,6.790749999999997,4.88274761904762,-9.729852380952384,3.1433238095238116,-8.825916666666668,-2.9453238095238086
7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4,437,6,0.2982,0.23631121281464532,0.48797940503432463,0.148471395881007,0.33023340961098385,0.1469908466819222,0.43504118993134966,0.2025514874141875,0.15288329519450786,0.3631533180778034,0.12363844393592685,0.2593089244851261,0.09568421052631575,48.43019679633868,1.464418764302064,5.258615560640731,-21.011068649885583,48.53343478260871,-5.00798169336385,-15.260199084668185,-0.3472700228832947,-7.000643020594964,-6.705951945080095,-7.307162471395881,-1.3901258581235707
31qCy5ZaophVA81wtlwLc4,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,190779,4,404,7,0.2589,0.3052871287128712,0.44532178217821805,0.5316707920792082,0.1771311881188119,0.26851980198019804,0.1744950495049505,0.38642574257425716,0.27528465346534653,0.19012623762376243,0.3738564356435642,0.16070544554455463,0.29126980198019803,44.01806188118812,-35.91276732673266,-33.77208910891089,-20.114962871287126,28.1712722772277,-16.923349009900978,-9.845292079207917,14.155391089108916,-11.58473762376238,-2.9319529702970297,-6.4003292079207865,-10.082042079207918
3iw6V4LH7yPj1ESORX9RIN,0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,116750,4,436,4,0.25,0.6347201834862388,0.5316009174311928,0.3407316513761467,0.4385733944954125,0.3770022935779815,0.35855504587155973,0.3501766055045875,0.44893807339449565,0.3292362385321102,0.23896330275229366,0.2792293577981653,0.23350917431192691,52.54248853211012,70.9304288990826,-18.30553211009171,-2.333644495412843,21.024139908256892,-26.817233944954154,-9.756518348623853,5.372793577981653,-12.820229357798162,6.328731651376147,-7.207233944954125,5.531938073394497
45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,4,452,10,0.2417,0.21052876106194704,0.4651415929203538,0.19973672566371664,0.3655730088495575,0.44255088495575257,0.17054646017699115,0.21776548672566365,0.13159070796460184,0.2800044247787613,0.2710929203539825,0.19176769911504435,0.3052743362831858,45.067331858407066,-28.869517699115043,-32.966196902654836,-32.23041150442476,30.381059734513244,-10.92337831858407,-13.697898230088487,-8.307276548672563,5.357263274336283,-4.790424778761059,-13.30355530973451,3.87688053097345
02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4,836,5,0.3711,0.40378588516746444,0.5712428229665072,0.26780263157894724,0.2941901913875599,0.30736842105263135,0.2623887559808612,0.35196531100478473,0.252312200956938,0.35006698564593286,0.20823564593301463,0.26374880382775145,0.43691028708133944,44.972049043062185,-10.29255143540669,-52.317910287081375,-8.375600478468895,28.798677033492847,-13.038686602870817,-3.3598564593301403,-15.395077751196167,-11.319271531100458,-1.7418863636363637,-18.597433014354092,0.42493899521531003
1tkg4EHVoqnhR6iFEXb60y,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4,619,3,0.3571,0.5017124394184166,0.5555508885298867,0.4527479806138933,0.3753505654281098,0.2688190630048461,0.3026720516962844,0.19084652665589688,0.33505008077544396,0.20547011308562224,0.28317770597738295,0.3885105008077546,0.25608562197092094,45.28349919224557,36.82981098546038,-34.66805331179322,-13.686190630048472,69.33178352180938,-18.181127625201924,-10.095189014539582,-11.321491114701129,-1.6497770597738288,2.520140549273019,-16.34837802907914,6.215342487883686
5uEYRdEIh9Bo4fpjDd4Na9,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,162803,4,522,5,0.24,0.4466762452107279,0.4807758620689658,0.24867624521072784,0.4555670498084292,0.22475478927203071,0.23945019157088146,0.3307950191570881,0.22577394636015324,0.40007662835249047,0.2041877394636015,0.3603735632183909,0.37163984674329503,47.56206896551721,18.16046934865899,-31.482547892720305,-10.550678160919539,33.49236206896557,-15.606159003831415,-1.9721954022988517,7.699595785440619,-23.110107279693487,7.683385057471266,-11.426319923371643,-0.027007662835249
