iter	Passed	Remaining
743	70743	24341
744	70851	24251
745	70968	24163
746	71073	24071
747	71190	23983
748	71301	23894
749	71405	23801
750	71510	23709
751	71613	23617
752	71718	23525
753	71826	23434
754	71937	23343
755	72048	23253
756	72153	23161
757	72264	23071
758	72369	22978
759	72493	22892
760	72610	22804
761	72711	22710
762	72815	22617
763	72928	22527
764	73040	22437
765	73176	22354
766	73288	22263
767	73396	22171
768	73501	22079
769	73603	21985
770	73709	21893
771	73816	21800
772	73968	21721
773	74083	21631
774	74188	21538
775	74291	21444
776	74389	21349
777	74489	21255
778	74595	21162
779	74699	21069
780	74805	20976
781	74905	20881
782	75006	20787
783	75111	20694
784	75212	20599
785	75313	20505
786	75411	20410
787	75510	20314
788	75610	20220
789	75709	20125
790	75806	20029
791	75907	19935
792	76007	19840
793	76100	19743
794	76195	19647
795	76286	19550
796	76377	19453
797	76469	19357
798	76564	19260
799	76655	19163
800	76746	19066
801	76835	18969
802	76930	18873
803	77025	18777
804	77116	18680
805	77210	18584
806	77299	18486
807	77390	18389
808	77481	18292
809	77580	18197
810	77674	18101
811	77767	18005
812	77858	17908
813	77949	17811
814	78041	17714
815	78132	17618
816	78221	17520
817	78314	17424
818	78405	17327
819	78496	17231
820	78586	17133
821	78679	17037
822	78774	16941
823	78864	16844
824	78959	16748
825	79051	16652
826	79145	16556
827	79243	16461
828	79338	16365
829	79429	16268
830	79518	16171
831	79610	16075
832	79703	15978
833	79794	15882
834	79887	15786
835	79977	15689
836	80071	15593
837	80163	15497
838	80256	15400
839	80346	15304
840	80434	15207
841	80529	15111
842	80620	15014
843	80709	14917
844	80798	14820
845	80889	14724
846	80980	14628
847	81069	14531
848	81162	14435
849	81253	14338
850	81346	14242
851	81436	14146
852	81526	14049
853	81620	13953
854	81713	13857
855	81808	13762
856	81900	13666
857	81992	13569
858	82084	13473
859	82176	13377
860	82267	13281
861	82359	13185
862	82450	13088
863	82548	12993
864	82640	12897
865	82730	12801
866	82821	12705
867	82912	12608
868	83005	12512
869	83099	12417
870	83195	12321
871	83287	12225
872	83379	12129
873	83474	12034
874	83565	11937
875	83658	11842
876	83748	11745
877	83841	11649
878	83935	11554
879	84024	11457
880	84117	11362
881	84211	11266
882	84308	11171
883	84400	11075
884	84497	10979
885	84596	10884
886	84695	10789
887	84794	10694
888	84893	10599
889	84991	10504
890	85085	10408
891	85182	10313
892	85274	10217
893	85367	10121
894	85453	10025
895	85545	9929
896	85639	9833
897	85732	9737
898	85831	9642
899	85919	9546
900	86013	9451
901	86099	9354
902	86192	9258
903	86280	9162
904	86372	9066
905	86463	8970
906	86554	8874
907	86647	8779
908	86737	8683
909	86830	8587
910	86921	8491
911	87013	8395
912	87106	8300
913	87192	8204
914	87285	8108
915	87375	8012
916	87468	7916
917	87560	7821
918	87654	7725
919	87742	7629
920	87834	7534
921	87924	7438
922	88013	7342
923	88104	7246
924	88193	7150
925	88285	7055
926	88371	6959
927	88460	6863
928	88552	6767
929	88643	6672
930	88735	6576
931	88825	6480
932	88918	6385
